	Group1(36)	Group2(30)	Group3(33)	Group4(45)	Group5(19)	Group6(16)	Group7(27)
Group1	1.0	0.37088167898203195	0.5495806331270849	0.7061529897298233	0.538365134918709	0.10917988751567742	0.7333008643687402	
Group2	0.37088167898203195	1.0	0.42731661995535664	0.25395575579476326	0.24849732144946746	0.031203096012264564	0.720829933800057	
Group3	0.5495806331270849	0.42731661995535664	1.0	0.5906747210122449	0.35733548288981665	0.10900174701600007	0.8646589678176924	
Group4	0.7061529897298233	0.25395575579476326	0.5906747210122449	1.0	0.2052382398184769	0.1083106693864685	0.7597229899294643	
Group5	0.538365134918709	0.24849732144946746	0.35733548288981665	0.2052382398184769	1.0	0.520224732011628	0.8176361748296072	
Group6	0.10917988751567742	0.031203096012264564	0.10900174701600007	0.1083106693864685	0.520224732011628	1.0	0.2679209331529824	
Group7	0.7333008643687402	0.720829933800057	0.8646589678176924	0.7597229899294643	0.8176361748296072	0.2679209331529824	1.0	
