	Group1(36)	Group2(36)	Group3(40)	Group4(48)	Group5(24)	Group6(16)	Group7(30)
Group1	1.0	0.706866891160545	0.9565274456415604	0.3362449165761724	0.7813995009642049	0.9002300456182708	0.5387263989184963	
Group2	0.706866891160545	1.0	0.6971331769417388	0.8268275745262369	0.6041156532672729	0.39031773099428757	0.13197282776058528	
Group3	0.9565274456415604	0.6971331769417388	1.0	0.7827284307781414	0.8453729294521289	0.6219495588685426	0.2712436840652188	
Group4	0.3362449165761724	0.8268275745262369	0.7827284307781414	1.0	0.35613655558961077	0.644482088990606	0.06362997188521435	
Group5	0.7813995009642049	0.6041156532672729	0.8453729294521289	0.35613655558961077	1.0	0.8517698656461713	0.6979383822934472	
Group6	0.9002300456182708	0.39031773099428757	0.6219495588685426	0.644482088990606	0.8517698656461713	1.0	0.42140710880995846	
Group7	0.5387263989184963	0.13197282776058528	0.2712436840652188	0.06362997188521435	0.6979383822934472	0.42140710880995846	1.0	
