	Group1(35)	Group2(35)	Group3(40)	Group4(47)	Group5(24)	Group6(16)	Group7(30)
Group1	1.0	0.06254809022921919	0.21178862022280232	0.12147559632620697	0.01133772434265734	0.3631850156380704	0.44347954816479673	
Group2	0.06254809022921919	1.0	0.9270854216012889	0.8827687863906302	0.5696478419385302	0.6445398515275078	0.5017504349269113	
Group3	0.21178862022280232	0.9270854216012889	1.0	0.743920898572354	0.5814367506360608	0.8320818895201156	0.9555391893955086	
Group4	0.12147559632620697	0.8827687863906302	0.743920898572354	1.0	0.5614154876187774	0.9600793355320908	0.7061436553299069	
Group5	0.01133772434265734	0.5696478419385302	0.5814367506360608	0.5614154876187774	1.0	0.7540250589217966	0.1497316179653606	
Group6	0.3631850156380704	0.6445398515275078	0.8320818895201156	0.9600793355320908	0.7540250589217966	1.0	0.4408187586261112	
Group7	0.44347954816479673	0.5017504349269113	0.9555391893955086	0.7061436553299069	0.1497316179653606	0.4408187586261112	1.0	
