	Group1(36)	Group2(19)	Group3(30)	Group4(42)	Group5(10)	Group6(12)	Group7(21)
Group1	1.0	0.98414625200903	0.7645942249083779	0.8688688721004098	0.7534514454835677	0.7360570405504056	0.9886743392373201	
Group2	0.98414625200903	1.0	0.999911059585331	0.9944150392354657	0.9999488767104959	0.9848993759058081	0.9999528101283676	
Group3	0.7645942249083779	0.999911059585331	1.0	0.8966494420186668	1.0	0.9989699308557354	0.9757624729509498	
Group4	0.8688688721004098	0.9944150392354657	0.8966494420186668	1.0	0.947647046016975	0.8849086164141997	1.0	
Group5	0.7534514454835677	0.9999488767104959	1.0	0.947647046016975	1.0	0.9996041110592194	0.9122649367849348	
Group6	0.7360570405504056	0.9848993759058081	0.9989699308557354	0.8849086164141997	0.9996041110592194	1.0	0.9793415947113292	
Group7	0.9886743392373201	0.9999528101283676	0.9757624729509498	1.0	0.9122649367849348	0.9793415947113292	1.0	
