	Group1(3)	Group2(6)	Group3(16)	Group4(22)	Group5(6)	Group6(11)
Group1	1.0	0.9880952380952381	0.8142414860681114	0.8508695652173913	0.6785714285714286	0.7252747252747253	
Group2	0.9880952380952381	1.0	0.3452213421253668	0.8079311992355471	0.474025974025974	0.45854880413703936	
Group3	0.8142414860681114	0.3452213421253668	1.0	0.12030291187704412	0.8359937276345946	0.9692645937093373	
Group4	0.8508695652173913	0.8079311992355471	0.12030291187704412	1.0	0.11414768806073161	0.15830949289623186	
Group5	0.6785714285714286	0.474025974025974	0.8359937276345946	0.11414768806073161	1.0	0.8274886877828054	
Group6	0.7252747252747253	0.45854880413703936	0.9692645937093373	0.15830949289623186	0.8274886877828054	1.0	
