	Group1(36)	Group2(24)	Group3(26)	Group4(68)	Group5(38)	Group6(38)
Group1	1.0	0.6041156532672729	0.42462971000765015	0.1594003818697155	0.4949967736220404	0.07434968200876757	
Group2	0.6041156532672729	1.0	0.9999952104746871	0.9840823088916025	0.9964603291537969	0.7070281135229193	
Group3	0.42462971000765015	0.9999952104746871	1.0	0.9999964878981706	0.9999999855256991	0.8039652515728859	
Group4	0.1594003818697155	0.9840823088916025	0.9999964878981706	1.0	0.9983767183086846	0.8765204741023596	
Group5	0.4949967736220404	0.9964603291537969	0.9999999855256991	0.9983767183086846	1.0	0.7378793870697806	
Group6	0.07434968200876757	0.7070281135229193	0.8039652515728859	0.8765204741023596	0.7378793870697806	1.0	
