	Group1(36)	Group2(17)	Group3(22)	Group4(53)	Group5(26)	Group6(16)
Group1	1.0	0.9931061018663454	0.5222235525170815	0.840647074642954	0.9995664037690765	0.5719070750091987	
Group2	0.9931061018663454	1.0	0.43419713600743626	0.5905084007713992	0.9894796134709771	0.8907041848731445	
Group3	0.5222235525170815	0.43419713600743626	1.0	0.9706705265231103	0.9427478348180932	0.9998114069774136	
Group4	0.840647074642954	0.5905084007713992	0.9706705265231103	1.0	0.9855148880172513	0.9575697218419772	
Group5	0.9995664037690765	0.9894796134709771	0.9427478348180932	0.9855148880172513	1.0	0.9379584268797677	
Group6	0.5719070750091987	0.8907041848731445	0.9998114069774136	0.9575697218419772	0.9379584268797677	1.0	
