	Group1(35)	Group2(24)	Group3(25)	Group4(64)	Group5(37)	Group6(33)
Group1	1.0	0.9528417067009317	0.9084576163379846	0.9159611976582634	0.7744666086554122	0.7594859855168903	
Group2	0.9528417067009317	1.0	0.859219751623648	0.7346319931474543	0.9759386882157745	0.9468715027635276	
Group3	0.9084576163379846	0.859219751623648	1.0	0.7371190556057075	0.6757446357803112	0.9670581141895219	
Group4	0.9159611976582634	0.7346319931474543	0.7371190556057075	1.0	0.6209446437277432	0.8546742111888858	
Group5	0.7744666086554122	0.9759386882157745	0.6757446357803112	0.6209446437277432	1.0	0.9164391576314476	
Group6	0.7594859855168903	0.9468715027635276	0.9670581141895219	0.8546742111888858	0.9164391576314476	1.0	
