	Group1(36)	Group2(17)	Group3(22)	Group4(53)	Group5(26)	Group6(16)
Group1	1.0	0.8703315741557373	0.9691924200532739	0.6433624406656171	0.9383182473767496	0.6092580448744276	
Group2	0.8703315741557373	1.0	0.980741554435183	0.939224382493729	0.8860236776963535	0.9672063335518535	
Group3	0.9691924200532739	0.980741554435183	1.0	0.9948846639951265	0.9999927279983842	0.9194017269380467	
Group4	0.6433624406656171	0.939224382493729	0.9948846639951265	1.0	0.999999999999709	0.9999977551014411	
Group5	0.9383182473767496	0.8860236776963535	0.9999927279983842	0.999999999999709	1.0	0.999872477932245	
Group6	0.6092580448744276	0.9672063335518535	0.9194017269380467	0.9999977551014411	0.999872477932245	1.0	
