	Group1(35)	Group2(24)	Group3(26)	Group4(67)	Group5(37)	Group6(38)
Group1	1.0	0.6783267063314085	0.1527456387393179	0.09065968005215563	0.3920612014824183	0.0025617535949437054	
Group2	0.6783267063314085	1.0	0.825512009023151	0.3514254833443251	0.9025642292605507	0.15219031563427532	
Group3	0.1527456387393179	0.825512009023151	1.0	0.6186824748590058	0.1292148151483259	0.34475734157455085	
Group4	0.09065968005215563	0.3514254833443251	0.6186824748590058	1.0	0.03674893057511042	0.3380655790323803	
Group5	0.3920612014824183	0.9025642292605507	0.1292148151483259	0.03674893057511042	1.0	0.0437556751767475	
Group6	0.0025617535949437054	0.15219031563427532	0.34475734157455085	0.3380655790323803	0.0437556751767475	1.0	
