	Group1(36)	Group2(21)	Group3(24)	Group4(66)	Group5(29)	Group6(30)
Group1	1.0	0.595615094095565	0.7813995009642049	0.2110554179500037	0.8051650974192821	0.5768173981582172	
Group2	0.595615094095565	1.0	0.7417179360265553	0.49756028522067886	0.40875878126985465	0.3892802533485852	
Group3	0.7813995009642049	0.7417179360265553	1.0	0.2150173408511441	0.5916242466729129	0.360302429671728	
Group4	0.2110554179500037	0.49756028522067886	0.2150173408511441	1.0	0.08079810730037251	0.10047066134232052	
Group5	0.8051650974192821	0.40875878126985465	0.5916242466729129	0.08079810730037251	1.0	0.39294501397971804	
Group6	0.5768173981582172	0.3892802533485852	0.360302429671728	0.10047066134232052	0.39294501397971804	1.0	
