	Group1(15)	Group2(19)	Group3(20)	Group4(48)	Group5(31)	Group6(28)
Group1	1.0	0.009573391672285214	0.0004121839373573133	8.073087761273356e-05	2.5343556125934086e-06	0.00019479968637492462	
Group2	0.009573391672285214	1.0	0.8914663920225655	0.6288087614749004	0.11357614429342378	0.32448411473699357	
Group3	0.0004121839373573133	0.8914663920225655	1.0	0.988508093785061	0.07890179468891145	0.2997259817309166	
Group4	8.073087761273356e-05	0.6288087614749004	0.988508093785061	1.0	0.004168195079190973	0.03987471014838018	
Group5	2.5343556125934086e-06	0.11357614429342378	0.07890179468891145	0.004168195079190973	1.0	0.13140786218660738	
Group6	0.00019479968637492462	0.32448411473699357	0.2997259817309166	0.03987471014838018	0.13140786218660738	1.0	
