interactor	score
FN1	0.671
IL1R1	0.672
IL1R1	0.672
TLR1	0.672
TLR1	0.672
PRF1	0.675
PRF1	0.675
TLR6	0.676
TLR6	0.676
ENSG00000173366	0.676
ENSG00000173366	0.676
MYD88	0.681
MYD88	0.681
TRAF6	0.684
TRAF6	0.684
TRAF3IP2	0.688
TRAF3IP2	0.688
CD1D	0.69
CD1D	0.69
IL17RE	0.691
IL17RE	0.691
STAT4	0.695
STAT4	0.695
CXCR3	0.7
CXCR3	0.7
NELFCD	0.7
NELFCD	0.7
TLR7	0.701
TLR7	0.701
FAS	0.704
FAS	0.704
CD40LG	0.709
CD40LG	0.709
DDX41	0.709
DDX41	0.709
IL32	0.713
IL32	0.713
PIGR	0.714
PIGR	0.714
TLR9	0.715
TLR9	0.715
IFNB1	0.719
IFNB1	0.719
CD19	0.732
CD19	0.732
PTPRC	0.737
PTPRC	0.737
CCL4	0.739
CCL4	0.739
CXCL9	0.739
CXCL9	0.739
ENTPD1	0.742
ENTPD1	0.742
S100A7	0.743
S100A7	0.743
CCL3	0.745
CCL3	0.745
PTGS2	0.746
PTGS2	0.746
LCN2	0.747
LCN2	0.747
CXCL12	0.748
CXCL12	0.748
MUC5AC	0.758
MUC5AC	0.758
CASP1	0.773
CASP1	0.773
GATA3	0.789
GATA3	0.789
TNFRSF1B	0.794
TNFRSF1B	0.794
CCRL2	0.796
CCRL2	0.796
TLR5	0.797
TLR5	0.797
MOG	0.8
MOG	0.8
CD44	0.805
CD44	0.805
CD274	0.811
CD274	0.811
IRF4	0.821
IRF4	0.821
STAT1	0.822
STAT1	0.822
CCL5	0.824
CCL5	0.824
CD40	0.826
CD40	0.826
VEGFA	0.826
VEGFA	0.826
IL33	0.831
IL33	0.831
CMKBR6	0.84
CMKBR6	0.84
TLR4	0.85
TLR4	0.85
CXCL2	0.852
CXCL2	0.852
MMP9	0.857
MMP9	0.857
CCL20	0.86
CCL20	0.86
ITGAM	0.871
ITGAM	0.871
ITGAX	0.872
ITGAX	0.872
TNFSF11	0.882
TNFSF11	0.882
IL22	0.897
IL22	0.897
TNF	0.912
TNF	0.912
CXCL1	0.912
CXCL1	0.912
FOXP3	0.955
FOXP3	0.955
IL10	0.971
IL10	0.971
IL6	0.971
IL6	0.971
CX3CL1	0.579
CX3CL1	0.579
CD4	0.62
CD4	0.62
TNFRSF1A	0.559
TNFRSF1A	0.559
TBX21	0.928
TBX21	0.928
LAG3	0.538
LAG3	0.538
MADCAM1	0.4
MADCAM1	0.4
MIF	0.678
MIF	0.678
OSM	0.473
OSM	0.473
MAPK1	0.696
MAPK1	0.696
HMOX1	0.416
HMOX1	0.416
IL2RB	0.544
IL2RB	0.544
GZMB	0.677
GZMB	0.677
NFKBIA	0.57
NFKBIA	0.57
CYP24A1	0.514
CYP24A1	0.514
TIMP1	0.528
TIMP1	0.528
MMP2	0.655
MMP2	0.655
CCL22	0.641
CCL22	0.641
CCL17	0.647
CCL17	0.647
CAPN15	0.425
CAPN15	0.425
DECR1	0.479
DECR1	0.479
TNFRSF10A	0.399
TNFRSF10A	0.399
RELB	0.429
RELB	0.429
RETN	0.446
RETN	0.446
TGFB1	0.621
TGFB1	0.621
HGF	0.446
HGF	0.446
NOD1	0.484
NOD1	0.484
MPO	0.678
MPO	0.678
CSF3	0.899
CSF3	0.899
CCL2	0.93
CCL2	0.93
CCL1	0.519
CCL1	0.519
CD38	0.518
CD38	0.518
CXCL6	0.513
CXCL6	0.513
IL2	0.982
IL2	0.982
SPI1	0.422
SPI1	0.422
CCND1	0.571
CCND1	0.571
IL10RA	0.568
IL10RA	0.568
KITLG	0.422
KITLG	0.422
CD69	0.731
CD69	0.731
IL23A	0.888
IL23A	0.888
IL26	0.689
IL26	0.689
IFNG	0.896
IFNG	0.896
GAPDH	0.675
GAPDH	0.675
AICDA	0.4
AICDA	0.4
KLRB1	0.7
KLRB1	0.7
MAPK14	0.594
MAPK14	0.594
IL12B	0.53
IL12B	0.53
IL4	0.951
IL4	0.951
IL5	0.899
IL5	0.899
IL1RL1	0.493
IL1RL1	0.493
ID2	0.428
