interactor	score
CPA3	0.29
CPA3	0.29
ORMDL3	0.29
ORMDL3	0.29
C5AR1	0.29
C5AR1	0.29
B2M	0.29
B2M	0.29
CDC25C	0.29
CDC25C	0.29
LAMP1	0.29
LAMP1	0.29
IRAK1	0.292
IRAK1	0.292
NFAT5	0.293
NFAT5	0.293
TMEM189	0.293
TMEM189	0.293
NPS	0.293
NPS	0.293
CCL15	0.294
CCL15	0.294
MMP1	0.294
MMP1	0.294
SLC22A5	0.294
SLC22A5	0.294
VIP	0.294
VIP	0.294
FCER1G	0.295
FCER1G	0.295
CR2	0.295
CR2	0.295
TMEM201	0.295
TMEM201	0.295
IRF7	0.295
IRF7	0.295
GHITM	0.295
GHITM	0.295
ADIPOQ	0.295
ADIPOQ	0.295
TP53	0.296
TP53	0.296
CHI3L1	0.296
CHI3L1	0.296
CCL23	0.296
CCL23	0.296
SATB1	0.296
SATB1	0.296
GPT	0.297
GPT	0.297
SMAD3	0.297
SMAD3	0.297
CLPS	0.297
CLPS	0.297
REL	0.297
REL	0.297
FCER2	0.299
FCER2	0.299
CD8A	0.299
CD8A	0.299
GNLY	0.309
GNLY	0.309
BCL2L1	0.309
BCL2L1	0.309
IRF3	0.309
IRF3	0.309
APOE	0.309
APOE	0.309
SPN	0.309
SPN	0.309
IL1R2	0.309
IL1R2	0.309
ARL2	0.311
ARL2	0.311
HMSD	0.311
HMSD	0.311
MMP12	0.311
MMP12	0.311
VDR	0.311
VDR	0.311
LTB4R	0.311
LTB4R	0.311
DCT	0.311
DCT	0.311
AKAP1	0.311
AKAP1	0.311
IGJ	0.311
IGJ	0.311
TAC1	0.311
TAC1	0.311
TNFSF11	0.311
TNFSF11	0.311
FUT7	0.311
FUT7	0.311
CXCR6	0.311
CXCR6	0.311
CD163	0.311
CD163	0.311
HRH4	0.313
HRH4	0.313
ITK	0.313
ITK	0.313
MMP3	0.313
MMP3	0.313
HRH1	0.315
HRH1	0.315
TNFSF10	0.315
TNFSF10	0.315
SPP1	0.315
SPP1	0.315
LGALS9	0.315
LGALS9	0.315
CSF1R	0.315
CSF1R	0.315
CYSLTR2	0.315
CYSLTR2	0.315
C17orf99	0.315
C17orf99	0.315
PECAM1	0.316
PECAM1	0.316
SFTPD	0.317
SFTPD	0.317
PDC	0.317
PDC	0.317
MX2	0.318
MX2	0.318
STAT2	0.319
STAT2	0.319
LY75	0.319
LY75	0.319
IL37	0.321
IL37	0.321
DNASE1	0.323
DNASE1	0.323
BATF	0.323
BATF	0.323
KLRD1	0.323
KLRD1	0.323
CD207	0.326
CD207	0.326
TREM1	0.326
TREM1	0.326
C3	0.327
C3	0.327
PRL	0.328
PRL	0.328
NFIL3	0.328
NFIL3	0.328
CD52	0.328
CD52	0.328
FLNC	0.328
FLNC	0.328
IFNL1	0.329
IFNL1	0.329
ACKR4	0.33
ACKR4	0.33
CHIA	0.331
CHIA	0.331
TRAF6	0.334
TRAF6	0.334
RORA	0.334
RORA	0.334
SRC	0.339
SRC	0.339
ZBTB32	0.339
ZBTB32	0.339
GFI1	0.342
GFI1	0.342
IGF1	0.343
IGF1	0.343
CASP3	0.343
CASP3	0.343
IL12A	0.344
IL12A	0.344
HMGB1	0.347
HMGB1	0.347
ZAP70	0.347
ZAP70	0.347
ATP4A	0.347
ATP4A	0.347
FGF13	0.347
FGF13	0.347
CXCR1	0.347
CXCR1	0.347
TNFSF15	0.347
TNFSF15	0.347
NFATC1	0.347
NFATC1	0.347
CAMP	0.347
CAMP	0.347
CMBL	0.347
CMBL	0.347
FCGR1A	0.347
FCGR1A	0.347
TNFRSF25	0.347
TNFRSF25	0.347
ITGAL	0.349
ITGAL	0.349
IL32	0.349
IL32	0.349
NCR2	0.349
NCR2	0.349
IFNL2	0.349
IFNL2	0.349
BDNF	0.349
BDNF	0.349
GZMA	0.353
GZMA	0.353
NR3C1	0.354
NR3C1	0.354
SDC1	0.354
SDC1	0.354
TNFRSF9	0.354
TNFRSF9	0.354
CCL25	0.354
CCL25	0.354
CCR10	0.354
CCR10	0.354
IL17RE	0.355
IL17RE	0.355
HAVCR2	0.355
HAVCR2	0.355
KIAA0101	0.358
KIAA0101	0.358
ACTB	0.358
ACTB	0.358
IL24	0.358
IL24	0.358
PDCD1	0.358
PDCD1	0.358
LTC4S	0.359
LTC4S	0.359
SCGB1A1	0.359
