	Group1(26)	Group2(48)	Group3(50)	Group4(57)	Group5(46)
Group1	1.0	0.6991327567622085	0.28151767879918366	0.14150051164693378	0.4591392204590107	
Group2	0.6991327567622085	1.0	0.8974182779437576	0.4747077597009095	0.9809170881051804	
Group3	0.28151767879918366	0.8974182779437576	1.0	0.6334293135910848	0.9845426675617713	
Group4	0.14150051164693378	0.4747077597009095	0.6334293135910848	1.0	0.8902988162748755	
Group5	0.4591392204590107	0.9809170881051804	0.9845426675617713	0.8902988162748755	1.0	
