	Group1(19)	Group2(38)	Group3(32)	Group4(48)	Group5(40)
Group1	1.0	0.3296598894899416	0.11863765790992742	0.2260105078958412	0.9305785886226368	
Group2	0.3296598894899416	1.0	0.8078294497321238	0.5555199548109857	0.11939341898104772	
Group3	0.11863765790992742	0.8078294497321238	1.0	0.405293223251753	0.06643066354314142	
Group4	0.2260105078958412	0.5555199548109857	0.405293223251753	1.0	0.0061539640372939575	
Group5	0.9305785886226368	0.11939341898104772	0.06643066354314142	0.0061539640372939575	1.0	
