	g1	g2	g3	g4	g5	g6
g1	1.0	0.46161875057900703	1.0	0.47003990708721194	1.0	0.12530399766387273
g2	0.46161875057900703	1.0	0.42045900781011325	0.13636922825776576	0.6847967878774874	0.5832074901842341
g3	1.0	0.42045900781011325	1.0	0.780294939777915	0.7341153185668132	0.09714662708230269
g4	0.47003990708721194	0.1363692282577658	0.7802949397779151	1.0	0.42658717671371793	0.018190716257218742
g5	1.0	0.6847967878774874	0.7341153185668133	0.42658717671371793	1.0	0.20439316510348804
g6	0.12530399766387273	0.5832074901842341	0.09714662708230269	0.018190716257218742	0.20439316510348804	1.0
