	g1	g2	g3	g4	g5	g6	g7
g1	1.0	0.14863285904823917	0.5958404424675208	0.6627476349709753	0.8113200892535808	0.6210339862271175
g2	0.14863285904823917	1.0	0.5047257585725637	0.27981309962104656	0.08371113718896511	0.5339084269260834
g3	0.5958404424675208	0.5047257585725637	1.0	1.0	0.3039200931903977	1.0
g4	0.6627476349709753	0.2798130996210465	1.0	1.0	0.2845230141531795	1.0
g5	0.8113200892535808	0.08371113718896511	0.3039200931903977	0.2845230141531795	1.0	0.3303013969375259
g6	0.6210339862271175	0.5339084269260834	1.0	1.0	0.3303013969375259	1.0
