	g1	g2	g3	g4	g5	g6	g7
g1	1.0	0.461649589482234	1.0	0.8231566670730324	0.029335319141959637	0.3475113380444612	0.6224484430880217
g2	0.46164958948223395	1.0	0.4652062167120071	0.24694967268045903	0.22272775569014044	0.7422484643461189	0.20227606157268507
g3	1.0	0.4652062167120071	1.0	0.8258606776783717	0.029066892418494937	0.35077731021242387	0.6270244557176161
g4	0.8231566670730324	0.24694967268045903	0.8258606776783717	1.0	0.00984614799322932	0.2283155343263616	1.0
g5	0.029335319141959637	0.22272775569014047	0.029066892418494937	0.00984614799322932	1.0	0.6856608930912339	0.01044644474393729
g6	0.3475113380444612	0.7422484643461189	0.35077731021242387	0.2283155343263616	0.685660893091234	1.0	0.1985189359304233
g7	0.6224484430880217	0.2022760615726851	0.627024455717616	1.0	0.010446444743937288	0.1985189359304233	1.0
