	g1	g2	g3	g4	g5	g6	g7
g1	1.0	0.5853683584215711	0.7972043354449176	0.28554278296693403	1.0	0.23550480416281788
g2	0.5853683584215711	1.0	1.0	0.0768947292249614	0.4172744496735593	0.7786095294243209
g3	0.7972043354449176	1.0	1.0	0.10139117217176356	0.6072955164181887	0.44547653155639827
g4	0.28554278296693403	0.0768947292249614	0.10139117217176356	1.0	0.3918674386076386	0.0063200931661802325
g5	1.0	0.4172744496735593	0.6072955164181888	0.3918674386076386	1.0	0.155401359597852
g6	0.23550480416281788	0.7786095294243209	0.4454765315563982	0.006320093166180233	0.155401359597852	1.0
