	g1	g2	g3	g4	g5	g6	g7
g1	1.0	0.41558927769180914	1.0	0.3764792177855631	1.0	0.02533605551688454	1.0
g2	0.41558927769180914	1.0	0.43531608011639156	0.059599240392897476	0.380325448337382	0.002088013743887936	0.6490460887605236
g3	1.0	0.43531608011639156	1.0	0.3948258114086419	1.0	0.025806832137727196	1.0
g4	0.3764792177855631	0.059599240392897476	0.39482581140864187	1.0	0.5207754752685294	0.10633837545629286	0.3479595925645272
g5	1.0	0.380325448337382	1.0	0.5207754752685293	1.0	0.05883318422018094	1.0
g6	0.02533605551688454	0.002088013743887936	0.025806832137727196	0.10633837545629286	0.05883318422018094	1.0	0.021126270014230144
g7	1.0	0.6490460887605236	1.0	0.3479595925645272	1.0	0.021126270014230147	1.0
