	g1	g2	g3	g4	g5	g6	g7
g1	1.0	0.8092499334930424	0.46594222007623065	1.0	1.0	1.0	0.09969103341200275
g2	0.8092499334930424	1.0	0.23102592953968917	0.6514994646521517	0.5939453170461386	1.0	0.03403884749443421
g3	0.46594222007623054	0.23102592953968915	1.0	0.49466265567460255	0.7782500731105302	0.5274999290876099	0.39110922255474045
g4	1.0	0.6514994646521517	0.49466265567460266	1.0	1.0	1.0	0.1196103293159436
g5	1.0	0.5939453170461386	0.7782500731105302	1.0	1.0	1.0	0.20561457897509322
g6	1.0	1.0	0.5274999290876098	1.0	1.0	1.0	0.15347839522749385
g7	0.09969103341200272	0.03403884749443421	0.3911092225547405	0.11961032931594362	0.20561457897509322	0.15347839522749385	1.0
